iter	MAE
0	9.966863884
1	9.728813635
2	9.531441795
3	9.385107363
4	9.212205609
5	9.047664985
6	8.941446247
7	8.799700336
8	8.662390241
9	8.541344887
10	8.46474217
11	8.231177476
12	8.010883624
13	7.871571723
14	7.728153406
15	7.665652001
16	7.605770151
17	7.491355559
18	7.437725669
19	7.312894576
20	7.277046275
21	7.213066508
22	7.181441377
23	7.104038893
24	7.013323337
25	6.960224429
26	6.920854584
27	6.901917239
28	6.829748445
29	6.788870922
30	6.729029857
31	6.704723035
32	6.693148091
33	6.647644316
34	6.612691951
35	6.597348737
36	6.554579609
37	6.511850624
38	6.441539222
39	6.373765016
40	6.325494573
41	6.285867592
42	6.274275348
43	6.254334836
44	6.245459096
45	6.210428995
46	6.186266755
47	6.168207989
48	6.154411117
49	6.144026314
50	6.125489048
51	6.084411294
52	6.063419562
53	6.050609964
54	6.038662524
55	6.023822471
56	6.008941266
57	5.987139571
58	5.971983236
59	5.963059728
60	5.956743897
61	5.944332883
62	5.932610324
63	5.919522076
64	5.885451467
65	5.871988696
66	5.862873178
67	5.846897922
68	5.834510979
69	5.819545782
70	5.811052724
71	5.800040933
72	5.790146348
73	5.779914431
74	5.77179601
75	5.760456545
76	5.743070568
77	5.730487971
78	5.717198391
79	5.695987394
80	5.6800713
81	5.668540707
82	5.652760358
83	5.647451395
84	5.62739375
85	5.614234111
86	5.604525171
87	5.595904618
88	5.590959911
89	5.58187655
90	5.573854489
91	5.565403265
92	5.55584614
93	5.545069871
94	5.536358761
95	5.528313319
96	5.519648224
97	5.51122891
98	5.494580536
99	5.486481
100	5.475791314
101	5.466990919
102	5.458153362
103	5.44928926
104	5.441691598
105	5.431135197
106	5.421456277
107	5.416542807
108	5.405644349
109	5.399017373
110	5.390198741
111	5.378011364
112	5.370948274
113	5.352758285
114	5.343576169
115	5.334809947
116	5.325870153
117	5.315814132
118	5.307475157
119	5.303109655
120	5.293945186
121	5.287875208
122	5.279294237
123	5.2700358
124	5.265320042
125	5.257353052
126	5.254171804
127	5.244997421
128	5.236848703
129	5.229729413
130	5.222725163
131	5.214907947
132	5.207551204
133	5.201954104
134	5.194513723
135	5.176025696
136	5.165821048
137	5.160171424
138	5.153437483
139	5.148444843
140	5.140657154
141	5.132730717
142	5.127229195
143	5.117622865
144	5.108743884
145	5.103969881
146	5.096188157
147	5.092790586
148	5.088164781
149	5.080724975
150	5.072716142
151	5.069905341
152	5.064601485
153	5.057784886
154	5.052796653
155	5.043479873
156	5.040772346
157	5.038842796
158	5.035762982
159	5.030527845
160	5.022964859
161	5.016772178
162	5.015629529
163	5.010371961
164	5.003118593
165	4.99995122
166	4.995660637
167	4.989551409
168	4.983027774
169	4.978123148
170	4.973868179
171	4.968045569
172	4.963619038
173	4.959649163
174	4.950842427
175	4.945093699
176	4.941440968
177	4.936666105
178	4.933193426
179	4.927491769
180	4.922270386
181	4.917511791
182	4.911717477
183	4.91114014
184	4.904784505
185	4.901111252
186	4.893401475
187	4.891575271
188	4.883843069
189	4.881789189
190	4.880466022
191	4.877936079
192	4.869697568
193	4.864981611
194	4.862072054
195	4.857620529
196	4.853582112
197	4.851514225
198	4.850800952
199	4.848722194
200	4.845589891
201	4.839082513
202	4.836323917
203	4.830398447
204	4.827679976
205	4.820997238
206	4.812886074
207	4.806193196
208	4.80011512
209	4.796724491
210	4.794859628
211	4.794052629
212	4.788346019
213	4.786876882
214	4.780924467
215	4.779015324
216	4.774752083
217	4.773535007
218	4.768036907
219	4.763108771
220	4.760769309
221	4.75630089
222	4.752588933
223	4.746522208
224	4.744668078
225	4.744572326
226	4.739080581
227	4.737513466
228	4.731075225
229	4.727125401
230	4.723206687
231	4.719121812
232	4.716860073
233	4.71339622
234	4.710764666
235	4.705908021
236	4.705188841
237	4.700785709
238	4.699310373
239	4.694014121
240	4.691081447
241	4.689757855
242	4.683293967
243	4.679973751
244	4.676770496
245	4.673851485
246	4.671537503
247	4.663133636
248	4.65721209
249	4.653010407
250	4.648317815
251	4.64387676
252	4.64357789
253	4.642126695
254	4.640463993
255	4.637866945
256	4.635551641
257	4.633031633
258	4.630815646
259	4.629652267
260	4.628759185
261	4.62602757
262	4.624230581
263	4.623648339
264	4.622511325
265	4.621541726
266	4.618086244
267	4.616033103
268	4.613165837
269	4.60966412
270	4.607977317
271	4.603852127
272	4.602774955
273	4.600381063
274	4.59947565
275	4.596552178
276	4.594153845
277	4.59118846
278	4.590191922
279	4.588475771
280	4.582858465
281	4.582441206
282	4.579593587
283	4.578853489
284	4.576118545
285	4.574991324
286	4.567643949
287	4.567508127
288	4.565139744
289	4.562413256
290	4.558655403
291	4.557557772
292	4.551022249
293	4.548002825
294	4.543080904
295	4.540919565
296	4.538614324
297	4.535133097
298	4.529152572
299	4.525310168
300	4.524549883
301	4.522081818
302	4.516887477
303	4.513372423
304	4.511801857
305	4.509234871
306	4.507884626
307	4.504915691
308	4.503143621
309	4.501812216
310	4.500792944
311	4.499963995
312	4.498465726
313	4.494679078
314	4.494543104
315	4.492556537
316	4.489653058
317	4.487080216
318	4.484635016
319	4.482872241
320	4.481179232
321	4.478302167
322	4.475543042
323	4.474123529
324	4.466755644
325	4.46487081
326	4.462807483
327	4.459575213
328	4.456497527
329	4.45324531
330	4.451733009
331	4.446835985
332	4.443929412
333	4.441714775
334	4.436015848
335	4.434346602
336	4.4325988
337	4.431536126
338	4.425916821
339	4.422983429
340	4.421624067
341	4.418534528
342	4.414833794
343	4.414567924
344	4.414348332
345	4.414094031
346	4.411327443
347	4.407771303
348	4.405321879
349	4.402663144
350	4.401859087
351	4.401573667
352	4.399687892
353	4.398324417
354	4.396852546
355	4.393519205
356	4.392858415
357	4.392584224
358	4.392215864
359	4.388938091
360	4.388589431
361	4.387364138
362	4.384895616
363	4.382069529
364	4.380686524
365	4.376686179
366	4.372665339
367	4.370010771
368	4.367584696
369	4.364614596
370	4.360362719
371	4.35960155
372	4.359116627
373	4.358510274
374	4.357289956
375	4.35528941
376	4.355158355
377	4.352208295
378	4.351837857
379	4.350073313
380	4.348930077
381	4.347779661
382	4.344293043
383	4.34193882
384	4.341546612
385	4.339746431
386	4.338022371
387	4.334779394
388	4.332711699
389	4.329040638
390	4.326991599
391	4.324486855
392	4.321427234
393	4.316999727
394	4.316695337
395	4.309811342
396	4.308949712
397	4.30448714
398	4.3010353
399	4.299073484
400	4.295761561
401	4.293446738
402	4.292219601
403	4.291337731
404	4.289563117
405	4.287449784
406	4.28521569
407	4.285092695
408	4.28396808
409	4.283210086
410	4.282263931
411	4.280712646
412	4.280074558
413	4.279019063
414	4.278526923
415	4.276828581
416	4.276371312
417	4.276104212
418	4.275045149
419	4.274521071
420	4.272347063
421	4.270380898
422	4.269488479
423	4.268895923
424	4.268153868
425	4.267871458
426	4.26280838
427	4.26014573
428	4.255840021
429	4.254256662
430	4.251726878
431	4.248673631
432	4.243644621
433	4.240846744
434	4.240669218
435	4.237790736
436	4.236149533
437	4.235382496
438	4.232546079
439	4.230836019
440	4.227511584
441	4.224996702
442	4.224803956
443	4.223190569
444	4.221033726
445	4.219949964
446	4.219226281
447	4.21840062
448	4.215977288
449	4.212594603
450	4.210676041
451	4.209150837
452	4.208741491
453	4.208258572
454	4.207439681
455	4.204333503
456	4.203874909
457	4.203717453
458	4.200060563
459	4.19992107
460	4.199755404
461	4.195168503
462	4.194738634
463	4.192421876
464	4.190670207
465	4.189086275
466	4.188273094
467	4.1863125
468	4.182942345
469	4.181112901
470	4.179266451
471	4.176984248
472	4.175104035
473	4.17280167
474	4.17200494
475	4.170415601
476	4.170033872
477	4.168226144
478	4.167824902
479	4.167557531
480	4.166372306
481	4.165120266
482	4.163312772
483	4.161229211
484	4.160584861
485	4.160335619
486	4.156548154
487	4.154647377
488	4.154186857
489	4.152050762
490	4.151773347
491	4.148097984
492	4.144145008
493	4.14374459
494	4.143464003
495	4.142732447
496	4.141565888
497	4.139910894
498	4.137612328
499	4.136423228
500	4.134713564
501	4.133961875
502	4.132235406
503	4.13136725
504	4.131042028
505	4.130956568
506	4.129215659
507	4.128121831
508	4.127102161
509	4.126589321
510	4.126471847
511	4.125940697
512	4.124571355
513	4.122400945
514	4.121674743
515	4.12099777
516	4.119264018
517	4.117742321
518	4.115727091
519	4.115602578
520	4.115357737
521	4.111695456
522	4.111331043
523	4.111048704
524	4.109558664
525	4.107368063
526	4.106904254
527	4.106351426
528	4.104864057
529	4.104028997
530	4.101585156
531	4.099404997
532	4.098577876
533	4.097759934
534	4.094996187
535	4.09386887
536	4.09311578
537	4.090986574
538	4.087650386
539	4.086526112
540	4.086297471
541	4.084644085
542	4.082468018
543	4.081404172
544	4.080086796
545	4.079272953
546	4.077153741
547	4.075376329
548	4.072732641
549	4.070314771
550	4.066387011
551	4.065376549
552	4.063702915
553	4.061215446
554	4.061144035
555	4.059207925
556	4.057300043
557	4.0570866
558	4.056789041
559	4.055017429
560	4.054783049
561	4.054734343
562	4.052115763
563	4.050655079
564	4.048774513
565	4.048292521
566	4.047913134
567	4.047342425
568	4.046184358
569	4.045055207
570	4.044170516
571	4.04114337
572	4.038813711
573	4.035707512
574	4.035624528
575	4.034627545
576	4.033710698
577	4.033404782
578	4.032264705
579	4.029872136
580	4.029360684
581	4.028204068
582	4.026261563
583	4.022833751
584	4.022434649
585	4.021578037
586	4.020346579
587	4.018714391
588	4.017684539
589	4.015768297
590	4.014347523
591	4.011519156
592	4.010587189
593	4.00827641
594	4.008136635
595	4.006933916
596	4.005224213
597	4.004646509
598	4.004293107
599	4.002694455
