iter	Passed	Remaining
0	3	2257
1	5	1651
2	7	1419
3	8	1273
4	9	1169
5	11	1098
6	12	1098
7	14	1090
8	16	1061
9	17	1044
10	20	1072
11	21	1070
12	23	1044
13	24	1021
14	25	1005
15	27	990
16	30	1056
17	32	1043
18	33	1033
19	35	1040
20	37	1037
21	38	1024
22	40	1019
23	42	1010
24	43	1003
25	45	1003
26	48	1031
27	50	1027
28	52	1041
29	54	1033
30	55	1027
31	57	1020
32	58	1011
33	61	1029
34	63	1025
35	64	1017
36	66	1009
37	68	1011
38	69	1005
39	71	1000
40	72	991
41	73	982
42	75	982
43	77	980
44	79	977
45	81	975
46	82	972
47	84	973
48	86	968
49	87	958
50	88	950
51	89	941
52	90	933
53	92	939
54	94	935
55	95	929
56	97	925
57	99	927
58	101	926
59	102	920
60	103	916
61	105	911
62	106	907
63	108	905
64	109	902
65	111	899
66	113	901
67	114	899
68	116	893
69	117	888
70	118	885
71	120	883
72	121	879
73	124	886
74	126	884
75	127	880
76	129	879
77	131	877
78	132	873
79	133	869
80	135	865
81	136	861
82	137	859
83	139	858
84	141	855
85	142	853
86	144	854
87	146	852
88	147	848
89	149	845
90	150	841
91	151	836
92	153	834
93	158	854
94	160	852
95	161	849
96	163	848
97	165	847
98	166	844
99	169	849
100	171	845
101	172	841
102	173	838
103	175	834
104	176	831
105	177	828
106	182	839
107	183	835
108	185	833
109	187	833
110	188	832
111	190	828
112	191	824
113	192	820
114	193	817
115	196	819
116	198	818
117	200	816
118	202	816
119	203	814
120	204	810
121	205	806
122	207	802
123	208	799
124	209	797
125	212	799
126	214	798
127	217	802
128	219	799
129	220	797
130	221	793
131	223	790
132	224	786
133	225	784
134	226	781
135	228	779
136	229	775
137	231	774
138	232	771
139	233	768
140	234	764
141	236	761
142	237	758
143	238	754
144	239	751
145	242	753
146	243	751
147	245	748
148	246	746
149	248	746
150	250	743
151	251	740
152	252	737
153	253	734
154	254	731
155	256	730
156	257	727
157	258	724
158	260	722
159	261	720
160	263	717
161	264	714
162	265	711
163	266	708
164	267	705
165	268	702
166	269	699
167	272	700
168	273	697
169	274	695
170	276	693
171	278	691
172	279	689
173	280	687
174	281	684
175	282	681
176	283	678
177	284	675
178	286	674
179	288	672
180	289	669
181	290	667
182	292	667
183	294	665
184	295	662
185	296	659
186	297	657
